staff_id,first_name,last_name,nickname,address,city,state,zip,gender,doh,cell_number,home_number,agency_staff
1,Bernard,Sweeney,Stewart,20 Humming Lane,Carson,TN,97819,M,2009-03-05 10:07:36,(782) 846-2355,(333) 187-6965,1
2,Quynn,Gill,Buffy,20 Humming Lane,Fullerton,TX,75167,M,2010-06-21 15:29:32,(142) 498-7317,(293) 159-5327,1
3,Kylee,Martin,Acton,20 Humming Lane,Grand Rapids,NE,31074,F,2010-11-20 01:21:42,(732) 149-2433,(929) 356-5015,1
4,Kermit,Bradford,Colleen,16 Endicott Street,Huntsville,LA,70802,M,2009-11-21 16:10:51,(611) 954-9832,(497) 413-4746,1
5,Samson,Bean,Oren,20 Humming Lane,Signal Hill,OR,96418,F,2010-09-13 02:15:38,(723) 565-8532,(767) 514-6953,0
6,Grady,Bush,Noble,16 Endicott Street,Beverly Hills,MD,21945,F,2010-11-03 09:18:54,(113) 656-3248,(385) 348-1708,1
7,Blair,Figueroa,Rooney,16 Endicott Street,Lodi,AL,57071,M,2010-02-09 04:13:38,(371) 529-7140,(531) 330-3431,0
8,Silas,Coleman,Brittany,20 Humming Lane,Rome,VA,05786,F,2010-09-16 00:44:52,(169) 219-6419,(823) 455-1473,1
9,Jerome,Cummings,Cathleen,20 Humming Lane,Egg Harbor,RI,48118,F,2009-05-30 01:06:03,(389) 799-5139,(880) 353-5066,1
10,Stewart,Huff,Nora,20 Humming Lane,Vancouver,NJ,44224,M,2009-07-18 01:50:04,(235) 464-2554,(199) 256-1408,1
11,Aaron,Hughes,Kirk,16 Endicott Street,Torrington,WI,33378,M,2009-07-01 14:25:30,(439) 994-0931,(593) 901-4069,1
12,Kaseem,Vinson,Ignatius,20 Humming Lane,Fort Smith,OR,68497,F,2010-02-17 03:25:26,(925) 856-3593,(617) 676-7261,0
13,Victor,Torres,Zeph,20 Humming Lane,Manitowoc,SD,69484,F,2010-11-09 00:58:48,(417) 910-4271,(148) 410-3092,1
14,Jack,Briggs,Kai,20 Humming Lane,Pittston,MA,87894,M,2009-02-12 04:20:45,(152) 333-3826,(929) 912-0635,0
15,Beau,Watts,Amena,20 Humming Lane,San Marino,TN,32784,F,2010-06-28 19:52:58,(284) 101-9319,(549) 184-6947,0
16,Ciara,Marquez,Abdul,20 Humming Lane,Tok,ID,78953,M,2009-10-22 07:31:31,(748) 968-4075,(812) 859-3753,0
17,Ian,Mcclure,Joan,16 Endicott Street,Fulton,KY,61510,M,2010-10-31 23:30:34,(780) 855-6784,(478) 231-8773,0
18,Asher,Parsons,Amelia,20 Humming Lane,Guánica,DE,11291,F,2010-11-03 16:58:57,(576) 351-6307,(616) 390-2072,0
19,Avram,Hoffman,Kessie,20 Humming Lane,Mount Vernon,NC,77154,F,2009-11-06 17:11:44,(160) 467-9842,(845) 817-8223,0
20,Roary,Barber,Logan,16 Endicott Street,Shawnee,MD,88359,M,2010-02-12 17:52:53,(366) 219-9648,(826) 140-8304,0
21,Timothy,Sweeney,Chancellor,16 Endicott Street,Sacramento,AK,93560,M,2010-01-14 18:23:59,(807) 455-2722,(321) 636-2254,0
22,Erin,Knowles,Byron,20 Humming Lane,Las Vegas,MO,59957,F,2010-05-11 14:00:22,(125) 848-1707,(269) 414-9490,1
23,Ila,Logan,Guy,20 Humming Lane,Beverly Hills,KY,09735,M,2009-11-01 09:20:32,(837) 644-7041,(380) 780-8262,0
24,Nathan,Mckee,Griffith,16 Endicott Street,Orangeburg,IA,86824,F,2010-02-27 09:35:32,(681) 723-9137,(945) 208-0743,1
25,Blake,Owen,Brianna,16 Endicott Street,McKeesport,SC,13405,F,2010-10-24 22:12:02,(481) 528-4646,(627) 370-3874,0
26,Flavia,Fletcher,Stuart,16 Endicott Street,Lawrence,IL,87878,F,2009-10-05 04:22:00,(968) 605-1325,(138) 813-8466,0
27,Chandler,Weeks,Bradley,20 Humming Lane,Santa Cruz,SD,60428,F,2010-08-30 05:21:14,(442) 777-7066,(204) 671-2903,0
28,Tatum,Carter,Edan,16 Endicott Street,San Bernardino,IN,10462,F,2009-03-30 23:00:41,(409) 475-6802,(615) 528-2195,0
29,Raja,Rowland,Kaseem,20 Humming Lane,Williamsburg,MT,74983,F,2010-12-19 20:55:29,(689) 492-9075,(357) 452-0305,1
30,Allen,Benjamin,Jordan,20 Humming Lane,Somerville,VA,29219,M,2010-04-29 13:49:37,(116) 291-4588,(118) 524-6241,0
31,Fay,Blankenship,James,20 Humming Lane,Glen Cove,MD,28544,M,2009-05-16 00:02:42,(460) 849-9674,(820) 262-9934,0
32,Mechelle,Singleton,Colton,16 Endicott Street,Champaign,CA,53914,M,2009-08-23 12:53:21,(638) 312-1332,(152) 987-9551,0
33,Patricia,Faulkner,Hector,16 Endicott Street,Sioux City,OR,11650,M,2009-10-16 08:26:04,(621) 954-9179,(149) 601-2846,1
34,Declan,Holder,Kasimir,16 Endicott Street,Muskegon,OH,79790,M,2009-08-05 22:30:14,(556) 726-7753,(866) 713-9374,0
35,Gavin,Byrd,Kim,16 Endicott Street,Slidell,MN,58305,F,2011-01-17 23:50:01,(417) 260-0377,(506) 871-4120,0
36,Aubrey,Jordan,Pearl,20 Humming Lane,Arlington,NM,12520,M,2009-07-24 23:52:35,(917) 385-8826,(731) 851-3661,0
37,Marsden,Pruitt,Omar,20 Humming Lane,Stockton,WY,09017,F,2010-09-23 02:48:55,(921) 848-5793,(407) 978-4362,1
38,Jolie,Conley,Hiram,20 Humming Lane,Covington,ME,10332,F,2010-05-18 05:43:57,(817) 601-0189,(874) 236-3887,1
39,Ashton,Cabrera,Candice,16 Endicott Street,East Lansing,HI,49567,F,2009-12-20 19:48:15,(781) 861-7469,(832) 710-1212,0
40,Hashim,Leonard,Hedley,16 Endicott Street,Ardmore,KY,07388,F,2009-07-06 04:05:03,(608) 168-8904,(206) 429-0544,0
41,Jessica,Rivas,Carissa,16 Endicott Street,Seaford,UT,76274,F,2009-11-28 08:26:02,(520) 535-6419,(610) 354-8020,1
42,Anika,Thompson,Linus,20 Humming Lane,Norwalk,GA,62993,F,2009-08-26 12:16:56,(499) 809-4106,(745) 865-9745,0
43,Cain,Rice,Justine,20 Humming Lane,La Habra Heights,RI,18808,M,2009-02-23 23:45:23,(280) 387-0328,(188) 733-2517,1
44,Lawrence,Lopez,Maisie,16 Endicott Street,Orlando,MT,34824,F,2009-03-27 08:45:04,(112) 440-4381,(724) 332-3970,0
