staff_id,first_name,last_name,nickname,address,city,state,zip,gender,doh,cell_number,home_number,agency_staff
4,Jennifer,Lewis,Vincent,669-4845 Cursus. Ave,Berlin,Rhode Island,83834,F,2009-09-17 19:26:26,(972) 555-3291,(706) 208-8443,F
33,Calista,Clemons,Brendan,3932 Vehicula Rd.,Auburn Hills,LA,83925,M,2009-11-03 04:47:40,(420) 140-8343,(791) 912-9723,T
39,Owen,Fischer,Renee,Ap #203-9610 Dui Road,Anchorage,ID,47859,M,2010-07-24 23:56:19,(983) 126-7483,(170) 450-7217,F
28,Yuli,Mccullough,Quon,Ap #952-2878 Faucibus Road,Lowell,CO,34872,F,2009-12-14 18:12:31,(801) 262-9836,(206) 780-0503,F
38,Jack,Snyder,Wylie,5109 Tellus Road,North Tonawanda,Iowa,43331,M,2010-11-14 17:35:35,(138) 707-7027,(526) 906-6441,F
15,Jena,Rivera,Jerome,3124 Lectus St.,Fallon,LA,06187,F,2009-04-02 10:48:45,(615) 306-9703,(807) 482-2905,F
15,Melyssa,Austin,Abra,Ap #280-1796 Nisi Rd.,Littleton,TX,40299,F,2009-02-17 12:28:31,(746) 408-5688,(714) 715-3775,F
40,Glenna,Hernandez,Kyle,7247 Etiam Rd.,Jackson,Minnesota,89735,M,2009-07-13 02:48:33,(227) 708-2360,(880) 325-9737,F
25,Chandler,Bond,Keane,449-5676 Tincidunt Avenue,Santa Clara,Texas,84520,M,2009-07-05 05:08:16,(295) 421-3940,(202) 362-2867,T
5,Aileen,Cole,Geoffrey,6237 Porta Road,Birmingham,Nevada,72515,F,2010-04-30 13:37:48,(444) 369-6448,(859) 873-6123,F
28,Owen,Jimenez,Francesca,3426 In Rd.,Albuquerque,KS,25854,F,2009-11-12 02:12:45,(160) 478-0494,(901) 754-9032,F
14,Lareina,Hinton,Sopoline,Ap #493-3836 Duis Avenue,Bayamon,AL,79919,F,2009-04-09 16:40:25,(195) 850-7549,(775) 164-0384,F
15,Iona,Love,Faith,363-3839 Leo Rd.,Pomona,Louisiana,83948,M,2010-03-25 06:10:56,(254) 328-3667,(101) 633-0664,F
23,Flynn,Price,Boris,2925 Elit. St.,Buena Park,North Carolina,66477,F,2010-07-15 12:28:36,(319) 729-8300,(336) 607-5178,F
33,Inez,Gross,Ross,Ap #381-6930 Nisi Rd.,Lodi,Georgia,72651,M,2009-06-12 15:11:14,(539) 914-5109,(383) 660-1248,T
24,Alisa,Robles,Colette,3511 Varius St.,Clairton,Texas,87738,M,2010-01-16 15:55:49,(316) 772-8852,(738) 700-5189,F
11,Rahim,Sargent,Kennedy,975-4024 In Rd.,Bethlehem,Montana,29814,F,2009-04-10 09:33:32,(979) 689-2981,(319) 165-6940,F
32,Kyle,Petty,Sandra,Ap #113-1620 Sagittis Ave,Saipan,WV,86784,M,2009-08-02 22:59:06,(158) 223-8188,(264) 942-6137,T
9,Nicole,Meyer,Quinn,Ap #438-7525 Eleifend Street,Kemmerer,KY,56574,F,2010-09-17 03:41:19,(908) 851-4752,(679) 344-5082,F
15,Lucas,Ratliff,Amela,Ap #935-8185 Nunc Road,Anchorage,VT,41216,M,2009-10-26 18:17:50,(834) 189-5888,(414) 226-4853,T
18,Clarke,Reid,Clare,828-4996 Bibendum Av.,Winston-Salem,TX,64152,F,2010-05-10 05:42:54,(944) 160-5468,(300) 127-9754,T
3,Jonah,Jefferson,Jasper,1993 Netus Road,Port Orford,DC,21598,M,2009-03-03 01:22:25,(304) 643-7888,(809) 454-4835,T

