staff_id,first_name,last_name,nickname,address,city,state,zip,gender,doh,cell_number,home_number
1,Orson,Monroe,Francis,16 Endicott Street,Two Rivers,MS,79176,F,1969-12-31 19:00:00,(618) 970-1158,(543) 522-2955
2,Rosalyn,Johnston,August,255 Grapevine Road,Sheboygan,TX,45154,F,1969-12-31 19:00:00,(342) 590-9344,(766) 622-3733
3,acqueline,Carney,Christian,16 Endicott Street,Oro Valley,AZ,50593,F,1969-12-31 19:00:00,(940) 484-0415,(739) 463-4858
4,Lacota,Cotton,Vivien,17 Ferry hill Road,Knoxville,NJ,91331,M,1969-12-31 19:00:00,(257) 763-4038,(762) 521-0405
5,Sybil,Mack,Ciara,16 Endicott Street,Cary,AZ,10678,F,1969-12-31 19:00:00,(517) 546-1196,(407) 713-6755
6,Natalie,Page,Margaret,255 Grapevine Road,Seal Beach,DE,92010,M,1969-12-31 19:00:00,(667) 764-0628,(855) 510-2872
7,Alan,Luna,Idona,255 Grapevine Road,Hialeah,FL,27194,M,1969-12-31 19:00:00,(599) 218-0635,(837) 610-6645
8,Robert,Spencer,Preston,255 Grapevine Road,Allentown,PA,23512,M,1969-12-31 19:00:00,(307) 933-8714,(810) 566-3543
9,Tate,House,Brandon,17 Ferry hill Road,Great Falls,ND,96894,M,1969-12-31 19:00:00,(475) 290-0015,(779) 322-1645
10,Ayanna,Ray,Dahlia,255 Grapevine Road,Christiansted,OK,18594,M,1969-12-31 19:00:00,(846) 952-7319,(641) 387-3593
11,Shafira,Burke,Barry,255 Grapevine Road,East Lansing,RI,24061,F,1969-12-31 19:00:00,(337) 647-2885,(758) 352-1630
12,Wesley,Mcgee,Ruby,16 Endicott Street,Ann Arbor,HI,38965,M,1969-12-31 19:00:00,(228) 113-7720,(341) 982-9406
13,Claire,Beck,Timothy,17 Ferry hill Road,Dubuque,WA,52071,F,1969-12-31 19:00:00,(947) 767-0199,(919) 416-5256
14,Zoe,Riley,Kylan,16 Endicott Street,Battle Creek,AL,17765,M,1969-12-31 19:00:00,(325) 525-4348,(604) 850-8365
15,Allegra,Newman,Kato,16 Endicott Street,Omaha,MS,98523,F,1969-12-31 19:00:00,(584) 823-4372,(970) 336-3010
16,Kelsie,Rush,Kelsie,255 Grapevine Road,Macomb,NY,96281,F,1969-12-31 19:00:00,(156) 429-3906,(469) 470-9557
17,Mercedes,Benjamin,Haviva,17 Ferry hill Road,Guánica,AL,23279,M,1969-12-31 19:00:00,(980) 996-2556,(455) 912-6169
18,Amber,Young,Wallace,255 Grapevine Road,Charleston,MT,40730,M,1969-12-31 19:00:00,(379) 825-2801,(137) 296-2964
19,Brady,Rollins,Willa,16 Endicott Street,Kalispell,NH,61130,M,1969-12-31 19:00:00,(761) 663-5907,(970) 944-0245
20,Slade,Stephens,Brian,17 Ferry hill Road,San Diego,MI,57819,F,1969-12-31 19:00:00,(829) 837-7186,(626) 872-6639
21,Elmo,Butler,Hayfa,255 Grapevine Road,Thomasville,UT,85815,M,1969-12-31 19:00:00,(533) 610-2470,(296) 726-0301
22,Minerva,Tyler,Alexander,16 Endicott Street,South Burlington,LA,83427,F,1969-12-31 19:00:00,(472) 842-9397,(657) 159-6594
23,Indira,Roy,Sheila,17 Ferry hill Road,Rensselaer,NE,22304,F,1969-12-31 19:00:00,(570) 877-4354,(941) 446-8250
24,Wendy,Dunn,Lamar,255 Grapevine Road,Sheboygan,KY,86366,F,1969-12-31 19:00:00,(436) 791-6320,(798) 949-9750
25,Uma,Gates,Haley,17 Ferry hill Road,Dayton,AZ,66202,M,1969-12-31 19:00:00,(935) 365-0540,(139) 789-6230
26,Heather,Manning,Brock,255 Grapevine Road,Schenectady,MT,75810,F,1969-12-31 19:00:00,(762) 403-3420,(427) 658-9198
27,Karyn,Reeves,Grace,17 Ferry hill Road,Cape May,OK,77049,F,1969-12-31 19:00:00,(527) 958-3759,(338) 437-8000
28,Omar,Daniels,Patricia,255 Grapevine Road,Mankato,WV,99417,F,1969-12-31 19:00:00,(757) 416-6550,(828) 939-6568
29,Barclay,Cortez,Sasha,17 Ferry hill Road,Rensselaer,NH,20687,F,1969-12-31 19:00:00,(946) 507-3362,(759) 328-3469
30,Lamar,Harrell,Lavinia,255 Grapevine Road,Superior,GA,09746,F,1969-12-31 19:00:00,(535) 808-5577,(751) 211-7579
31,Timothy,Mccarty,Burton,255 Grapevine Road,Charleston,TN,52197,M,1969-12-31 19:00:00,(964) 532-2834,(151) 720-5724
32,Bert,Hamilton,Ebony,255 Grapevine Road,San Luis Obispo,KY,11676,F,1969-12-31 19:00:00,(183) 927-0787,(993) 717-8509
33,Lesley,Sparks,Finn,16 Endicott Street,Kenner,VT,52235,F,1969-12-31 19:00:00,(632) 410-3130,(419) 929-5022
34,Maia,Olson,Chancellor,16 Endicott Street,Peoria,AK,63695,F,1969-12-31 19:00:00,(263) 394-6045,(331) 453-9257
35,Blythe,Ellis,Stacy,255 Grapevine Road,Malden,NE,10674,M,1969-12-31 19:00:00,(795) 731-0624,(364) 521-5507
36,Simone,Mcdowell,Freya,255 Grapevine Road,Ketchikan,WV,46832,M,1969-12-31 19:00:00,(636) 360-5340,(666) 274-0379
37,Illana,Cochran,Stone,255 Grapevine Road,Fargo,PA,98234,M,1969-12-31 19:00:00,(151) 501-0772,(513) 892-3014
38,Jael,Hart,Chase,17 Ferry hill Road,Chesapeake,MS,99550,F,1969-12-31 19:00:00,(621) 404-9278,(291) 305-6473
39,Jason,Warner,Serena,255 Grapevine Road,Sedalia,OH,71002,F,1969-12-31 19:00:00,(164) 332-4346,(403) 887-3750
40,Daniel,Harper,Rama,17 Ferry hill Road,Miami Gardens,MD,62637,M,1969-12-31 19:00:00,(794) 140-4442,(315) 176-2145
41,Upton,Willis,Abigail,16 Endicott Street,Oneonta,AZ,72676,M,1969-12-31 19:00:00,(271) 613-9390,(252) 398-1989
42,Keegan,Macias,Zachary,16 Endicott Street,Richland,AL,69740,F,1969-12-31 19:00:00,(633) 933-1863,(855) 835-3950
43,Jescie,Ellis,Blossom,16 Endicott Street,Sacramento,NH,68791,M,1969-12-31 19:00:00,(348) 202-9587,(930) 981-4121
44,Venus,Beard,Nathan,17 Ferry hill Road,Florence,IL,47596,M,1969-12-31 19:00:00,(986) 674-5055,(979) 290-0074
45,Drew,Beach,Phyllis,255 Grapevine Road,Clemson,AK,66053,M,1969-12-31 19:00:00,(372) 438-3074,(185) 150-3686
46,Wynter,Woods,McKenzie,255 Grapevine Road,Flint,MO,88060,F,1969-12-31 19:00:00,(987) 962-0470,(184) 760-6675
47,Moses,Bass,Adrienne,16 Endicott Street,Sioux City,NC,73360,F,1969-12-31 19:00:00,(323) 804-8895,(501) 176-7865
48,Minerva,Landry,Dean,16 Endicott Street,Alameda,VA,97910,M,1969-12-31 19:00:00,(255) 141-4425,(393) 158-7113
49,Austin,Carver,Clinton,16 Endicott Street,Chattanooga,CT,15571,M,1969-12-31 19:00:00,(220) 656-8498,(186) 299-2116
50,Venus,Estes,Rachel,16 Endicott Street,Wilkes-Barre,IL,47868,M,1969-12-31 19:00:00,(243) 632-6187,(279) 386-1139
51,Rebekah,Goodman,Cheyenne,255 Grapevine Road,Needham,OK,54498,F,1969-12-31 19:00:00,(406) 593-6739,(691) 830-5625
52,Nina,Stafford,Demetrius,17 Ferry hill Road,San Luis Obispo,AK,85191,M,1969-12-31 19:00:00,(853) 682-2740,(145) 771-4630
53,Otto,Cleveland,Carissa,17 Ferry hill Road,Asheville,UT,07860,F,1969-12-31 19:00:00,(537) 377-3231,(945) 586-2985
54,Whilemina,Snider,Jacob,17 Ferry hill Road,Lynn,OR,71608,M,1969-12-31 19:00:00,(862) 193-9395,(257) 243-1281
55,Bert,Garrett,Stone,255 Grapevine Road,Oneida,WY,89542,M,1969-12-31 19:00:00,(455) 740-8080,(511) 702-8316
56,Reed,Shaffer,May,16 Endicott Street,Mason City,SD,07453,F,1969-12-31 19:00:00,(130) 221-6323,(452) 779-5553
57,Cara,Bryant,Clio,255 Grapevine Road,Des Moines,AK,37877,F,1969-12-31 19:00:00,(986) 410-7734,(420) 184-1964
